,海报图片,电影名称,信息,评分,评价人数,短评
32,https://movie.douban.com/subject/26752088/,我不是药神,导演: 文牧野 Muye Wen 主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周... 2018 / 中国大陆 / 剧情 喜剧,9.0,2183849人评价,对我们国家而言，这样的电影多一部是一部。
33,https://movie.douban.com/subject/1300267/,乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor 主演: 费... 1939 / 美国 / 剧情 历史 爱情 战争,9.3,720070人评价,Tomorrow is another day.
34,https://movie.douban.com/subject/2129039/,飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson 主演: 爱德... 2009 / 美国 / 剧情 喜剧 动画 冒险,9.1,1379800人评价,最后那些最无聊的事情，才是最值得怀念的。
35,https://movie.douban.com/subject/21937452/,素媛,导演: 李濬益 Jun-ik Lee 主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ... 2013 / 韩国 / 剧情,9.3,715721人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
36,https://movie.douban.com/subject/1308807/,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki 主演: 倍赏千惠子 Chieko Baishô / 木村拓... 2004 / 日本 / 爱情 动画 奇幻 冒险,9.1,1076178人评价,带着心爱的人在天空飞翔。
37,https://movie.douban.com/subject/1293182/,十二怒汉,导演: Sidney Lumet 主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti... 1957 / 美国 / 剧情,9.4,517709人评价,1957年的理想主义。
38,https://movie.douban.com/subject/3742360/,让子弹飞,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F... 2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,9.0,1768662人评价,你给我翻译翻译，神马叫做TMD的惊喜。
39,https://movie.douban.com/subject/30170448/,何以为家,导演: 娜丁·拉巴基 Nadine Labaki 主演: 扎因·拉费阿 Zain al-Rafeea / ... 2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情,9.1,1084561人评价,凝视卑弱生命，用电影改变命运。
40,https://movie.douban.com/subject/26387939/,摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari 主演: 阿米尔·汗 Aamir Khan / 法缇玛... 2016 / 印度 / 剧情 传记 运动 家庭,9.0,1623588人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
41,https://movie.douban.com/subject/1305487/,猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 莱昂纳多·迪卡普里奥 L... 2002 / 美国 加拿大 / 传记 犯罪 剧情,9.1,1082452人评价,骗子大师和执著警探的你追我跑故事。
42,https://movie.douban.com/subject/1291583/,天空之城,导演: 宫崎骏 Hayao Miyazaki 主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke... 1986 / 日本 / 动画 奇幻 冒险,9.2,919522人评价,对天空的追逐，永不停止。
