,海报图片,电影名称,信息,评分,评价人数,短评
71,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe... 2011 / 美国 英国 / 奇幻 冒险,9.0,871544人评价,10年的完美句点。
72,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,阿凡达,导演: 詹姆斯·卡梅隆 James Cameron 主演: 萨姆·沃辛顿 Sam Worthington ... 2009 / 美国 / 动作 科幻 冒险,8.8,1471900人评价,绝对意义上的美轮美奂。
73,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks... 1998 / 美国 / 剧情 战争,9.1,672066人评价,美利坚精神输出大片No1.
74,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman 主演: 杰克·尼科尔森 Jack Nichols... 1975 / 美国 / 剧情,9.1,565845人评价,自由万岁。
75,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,小鞋子,导演: 马基德·马基迪 Majid Majidi 主演: 默罕默德·阿米尔·纳吉 Mohamma... 1997 / 伊朗 / 剧情 儿童 家庭,9.2,427171人评价,奔跑的孩子是天使。
76,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,功夫,导演: 周星驰 Stephen Chow 主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ... 2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻,8.8,1197335人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
77,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme 主演: 朱迪·福斯特 Jodie Foster / 安... 1991 / 美国 / 剧情 犯罪 惊悚,8.9,929579人评价,安东尼·霍普金斯的顶级表演。
78,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg,布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson 主演: 拉尔夫·费因斯 Ralph Fiennes / ... 2014 / 美国 德国 英国 / 剧情 喜剧 冒险,8.9,987261人评价,小清新的故事里注入了大历史的情怀。
79,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,禁闭岛,导演: Martin Scorsese 主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ... 2010 / 美国 / 剧情 悬疑 惊悚,8.9,1020902人评价,昔日翩翩少年，今日大腹便便。
80,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber 主... 2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,8.9,977044人评价,人的命运被自己瞬间的抉择改变。
81,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,哈利·波特与阿兹卡班的囚徒,导演: Alfonso Cuarón 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma... 2004 / 英国 美国 / 奇幻 冒险,9.0,774718人评价,不一样的导演，不一样的哈利·波特。
82,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 休·杰克曼 Hugh Jackman... 2006 / 英国 美国 / 剧情 悬疑 惊悚,8.9,894404人评价,孪生蝙蝠侠大战克隆金刚狼。
83,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,心灵捕手,导演: 格斯·范·桑特 Gus Van Sant 主演: 马特·达蒙 Matt Damon / 罗宾·... 1997 / 美国 / 剧情,8.9,747822人评价,人生中应该拥有这样的一段豁然开朗。
84,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,超脱,导演: 托尼·凯耶 Tony Kaye 主演: 艾德里安·布洛迪 Adrien Brody / 马西... 2011 / 美国 / 剧情,9.0,641655人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
85,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 约翰·特拉沃尔塔 John Tra... 1994 / 美国 / 剧情 喜剧 犯罪,8.9,870629人评价,故事的高级讲法。
86,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,摩登时代,导演: 查理·卓别林 Charles Chaplin 主演: 查理·卓别林 Charles Chaplin ... 1936 / 美国 / 剧情 喜剧 爱情,9.3,315777人评价,大时代中的人生，小人物的悲喜。
87,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos 主演: 路易·西霍尤斯 Louie Psihoyo... 2009 / 美国 / 纪录片,9.3,365601人评价,海豚的微笑，是世界上最高明的伪装。
88,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,春光乍泄,导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu... 1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,9.0,658056人评价,爱情纠缠，男女一致。
89,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee 主演: 周星驰 Stephen Ch... 1999 / 中国香港 / 喜剧 剧情 爱情,8.8,1007904人评价,我是一个演员。
90,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,美国往事,导演: 赛尔乔·莱翁内 Sergio Leone 主演: 罗伯特·德尼罗 Robert De Niro ... 1984 / 美国 意大利 / 犯罪 剧情,9.2,428760人评价,往事如烟，无处祭奠。
91,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,致命ID,导演: 詹姆斯·曼高德 James Mangold 主演: 约翰·库萨克 John Cusack / 雷... 2003 / 美国 / 剧情 悬疑 惊悚,8.9,863679人评价,最不可能的那个人永远是最可能的。
