,海报图片,电影名称,信息,评分,评价人数,短评
10,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 连姆·尼森 Liam Neeson... 1993 / 美国 / 剧情 历史 战争,9.5,1160597人评价,拯救一个人，就是拯救整个世界。
11,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström 主演: 理查·基尔 Richard Ger... 2009 / 美国 英国 / 剧情,9.4,1441290人评价,永远都不能忘记你所爱的人。
12,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 蒂姆·罗斯 Tim Roth / ... 1998 / 意大利 / 剧情 音乐,9.3,1736119人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
13,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani 主演: 阿米尔·汗 Aamir Khan / 卡... 2009 / 印度 / 剧情 喜剧 爱情 歌舞,9.2,1925213人评价,英俊版憨豆，高情商版谢耳朵。
14,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier 主演: 让-巴蒂斯特·莫尼... 2004 / 法国 瑞士 德国 / 剧情 音乐,9.3,1362686人评价,天籁一般的童声，是最接近上帝的存在。
15,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton 主演: 本·贝尔特 Ben Burtt / 艾丽... 2008 / 美国 / 科幻 动画 冒险,9.3,1366841人评价,小瓦力，大人生。
16,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg,疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore 主演: 金妮弗·... 2016 / 美国 / 喜剧 动画 冒险,9.2,2035456人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
17,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,无间道,导演: 刘伟强 / 麦兆辉 主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W... 2002 / 中国香港 / 剧情 犯罪 惊悚,9.3,1427455人评价,香港电影史上永不过时的杰作。
18,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,控方证人,导演: 比利·怀尔德 Billy Wilder 主演: 泰隆·鲍华 Tyrone Power / 玛琳·... 1957 / 美国 / 剧情 犯罪 悬疑,9.6,607340人评价,比利·怀德满分作品。
19,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng... 1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,9.2,1587591人评价,一生所爱。
20,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,熔炉,导演: 黄东赫 Dong-hyuk Hwang 主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /... 2011 / 韩国 / 剧情,9.4,965511人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 马龙·白兰度 M... 1972 / 美国 / 剧情 犯罪,9.3,1009732人评价,千万不要记恨你的对手，这样会让你失去理智。
22,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano 主... 2011 / 法国 / 剧情 喜剧,9.3,1171490人评价,满满温情的高雅喜剧。
23,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino 主演: 威尔·史密斯 Will Smith ... 2006 / 美国 / 剧情 传记 家庭,9.2,1572667人评价,平民励志片。
24,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg,寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina 主演: ... 2017 / 美国 / 喜剧 动画 奇幻 音乐,9.1,1767414人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
25,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci 主演: 尊龙 John Lone / 陈... 1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,9.3,930435人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
26,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,龙猫,导演: 宫崎骏 Hayao Miyazaki 主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch... 1988 / 日本 / 动画 奇幻 冒险,9.2,1312569人评价,人人心中都有个龙猫，童年就永远不会消失。
27,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg,怦然心动,导演: 罗伯·莱纳 Rob Reiner 主演: 玛德琳·卡罗尔 Madeline Carroll / 卡... 2010 / 美国 / 剧情 喜剧 爱情,9.1,1900615人评价,真正的幸福是来自内心深处。
28,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg,活着,导演: 张艺谋 Yimou Zhang 主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang 1994 / 中国大陆 中国香港 / 剧情 历史 家庭,9.3,886048人评价,张艺谋最好的电影。
29,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg,哈利·波特与魔法石,导演: Chris Columbus 主演: Daniel Radcliffe / Emma Watson / Rupert Grint 2001 / 美国 英国 / 奇幻 冒险,9.2,1254533人评价,童话世界的开端。
30,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ... 2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,9.2,1104427人评价,无尽的黑暗。
31,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg,指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩... 2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,9.3,837225人评价,史诗的终章。
32,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,我不是药神,导演: 文牧野 Muye Wen 主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周... 2018 / 中国大陆 / 剧情 喜剧,9.0,2183849人评价,对我们国家而言，这样的电影多一部是一部。
33,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor 主演: 费... 1939 / 美国 / 剧情 历史 爱情 战争,9.3,720070人评价,Tomorrow is another day.
34,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg,飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson 主演: 爱德... 2009 / 美国 / 剧情 喜剧 动画 冒险,9.1,1379800人评价,最后那些最无聊的事情，才是最值得怀念的。
35,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,素媛,导演: 李濬益 Jun-ik Lee 主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ... 2013 / 韩国 / 剧情,9.3,715721人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
36,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2904111050.jpg,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki 主演: 倍赏千惠子 Chieko Baishô / 木村拓... 2004 / 日本 / 爱情 动画 奇幻 冒险,9.1,1076180人评价,带着心爱的人在天空飞翔。
37,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,十二怒汉,导演: Sidney Lumet 主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti... 1957 / 美国 / 剧情,9.4,517709人评价,1957年的理想主义。
38,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,让子弹飞,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F... 2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,9.0,1768662人评价,你给我翻译翻译，神马叫做TMD的惊喜。
39,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,何以为家,导演: 娜丁·拉巴基 Nadine Labaki 主演: 扎因·拉费阿 Zain al-Rafeea / ... 2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情,9.1,1084561人评价,凝视卑弱生命，用电影改变命运。
40,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari 主演: 阿米尔·汗 Aamir Khan / 法缇玛... 2016 / 印度 / 剧情 传记 运动 家庭,9.0,1623588人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
41,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 莱昂纳多·迪卡普里奥 L... 2002 / 美国 加拿大 / 传记 犯罪 剧情,9.1,1082452人评价,骗子大师和执著警探的你追我跑故事。
42,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg,天空之城,导演: 宫崎骏 Hayao Miyazaki 主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke... 1986 / 日本 / 动画 奇幻 冒险,9.2,919522人评价,对天空的追逐，永不停止。
43,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer 主演: 阿努克·斯特芬 Anuk Steffen /... 2015 / 德国 瑞士 / 剧情 冒险 家庭,9.3,664840人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
44,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,鬼子来了,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /... 2000 / 中国大陆 / 剧情 喜剧,9.3,653699人评价,对敌人的仁慈，就是对自己残忍。
45,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,少年派的奇幻漂流,导演: 李安 Ang Lee 主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan... 2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,9.1,1394378人评价,瑰丽壮观、无人能及的冒险之旅。
46,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg,钢琴家,导演: 罗曼·波兰斯基 Roman Polanski 主演: 艾德里安·布洛迪 Adrien Brod... 2002 / 英国 法国 波兰 德国 / 剧情 传记 战争 音乐,9.3,675088人评价,音乐能化解仇恨。
47,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng... 1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,9.0,1264657人评价,旷古烁今。
48,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩... 2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,9.2,786132人评价,承前启后的史诗篇章。
49,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,闻香识女人,导演: 马丁·布莱斯 Martin Brest 主演: 阿尔·帕西诺 Al Pacino / 克里斯... 1992 / 美国 / 剧情,9.1,929156人评价,史上最美的探戈。
50,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,死亡诗社,导演: 彼得·威尔 Peter Weir 主演: 罗宾·威廉姆斯 Robin Williams / 罗伯... 1989 / 美国 / 剧情,9.2,768358人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
51,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,绿皮书,导演: 彼得·法雷里 Peter Farrelly 主演: 维果·莫腾森 Viggo Mortensen /... 2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐,8.9,1723925人评价,去除成见，需要勇气。
52,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,大闹天宫,导演: 万籁鸣 Laiming Wan 主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu... 1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装,9.4,460197人评价,经典之作，历久弥新。
53,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,罗马假日,导演: 威廉·惠勒 William Wyler 主演: 奥黛丽·赫本 Audrey Hepburn / 格... 1953 / 美国 / 喜剧 剧情 爱情,9.1,980893人评价,爱情哪怕只有一天。
54,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg,指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩... 2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,9.1,882493人评价,传说的开始。
55,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski 主... 1999 / 美国 / 动作 科幻,9.1,870407人评价,视觉革命。
56,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 菲利普·努瓦雷 Philipp... 1988 / 意大利 法国 / 剧情 爱情,9.2,698631人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
57,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A... 1974 / 美国 / 剧情 犯罪,9.3,578769人评价,优雅的孤独。
58,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff 主演: 乔纳森·泰勒·托马... 1994 / 美国 / 动画 冒险 歌舞,9.1,881577人评价,动物版《哈姆雷特》。
59,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,辩护人,导演: 杨宇硕 Woo-seok Yang 主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae... 2013 / 韩国 / 剧情,9.2,612566人评价,电影的现实意义大过电影本身。
60,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,饮食男女,导演: 李安 Ang Lee 主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴... 1994 / 中国台湾 美国 / 剧情 家庭,9.2,650437人评价,人生不能像做菜，把所有的料都准备好了才下锅。
61,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,搏击俱乐部,导演: 大卫·芬奇 David Fincher 主演: 爱德华·诺顿 Edward Norton / 布拉... 1999 / 美国 / 剧情 动作 悬疑 惊悚,9.0,881938人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
62,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher 主演: 凯特·布兰切特 Cate Blanchett / ... 2008 / 美国 / 剧情 爱情 奇幻,9.0,1022255人评价,在时间之河里感受溺水之苦。
63,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,美丽心灵,导演: 朗·霍华德 Ron Howard 主演: 罗素·克劳 Russell Crowe / 艾德·哈... 2001 / 美国 / 传记 剧情,9.1,797422人评价,爱是一切逻辑和原由。
64,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman 主演: 阿萨·巴特菲尔德 Asa Butterfield ... 2008 / 英国 美国 / 剧情 战争,9.2,591329人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
65,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck &n... 2006 / 德国 / 剧情 悬疑,9.2,586452人评价,别样人生。
66,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,情书,导演: 岩井俊二 Shunji Iwai 主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets... 1995 / 日本 / 剧情 爱情,8.9,1169085人评价,暗恋的极致。
67,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,两杆大烟枪,导演: 盖·里奇 Guy Ritchie 主演: 杰森·弗莱明 Jason Flemyng / 德克斯特... 1998 / 英国 / 剧情 喜剧 犯罪,9.1,619467人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
68,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 莫妮卡·贝鲁奇 Monica ... 2000 / 意大利 美国 / 剧情 战争 情色,8.9,1013618人评价,美丽无罪。
69,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,音乐之声,导演: 罗伯特·怀斯 Robert Wise 主演: 朱莉·安德鲁斯 Julie Andrews / 克... 1965 / 美国 / 剧情 传记 爱情 歌舞,9.1,628175人评价,用音乐化解仇恨，让歌声串起美好。
70,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo 主演: 马里奥·卡萨斯 Mario Casas / 阿... 2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,8.8,1326680人评价,你以为你以为的就是你以为的。
